번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
1,일반음식점,07_24_04_P,3250000,3250000-101-2024-00139,2024-12-02,,3,폐업,2,폐업,2024-12-12,,,,,,600-017,부산광역시 중구 중앙동7가 20-1 롯데백화점광복점,"부산광역시 중구 중앙대로 2, 롯데백화점광복점 지하1층 (중앙동7가)",48944,농업회사법인 주식회사 진양푸드,2024-12-13 4:15,U,2024-12-15 2:40,기타,385590.8147,179553.867,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
2,일반음식점,07_24_04_P,3250000,3250000-101-2024-00138,2024-12-02,,3,폐업,2,폐업,2024-12-26,,,,,,600-017,부산광역시 중구 중앙동7가 20-1 롯데백화점광복점,"부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)",48944,그대쉴꽃꽃차수제티푸드협회,2024-12-27 4:15,U,2024-12-29 2:40,기타,385590.8147,179553.867,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
3,일반음식점,07_24_04_P,4070000,4070000-101-2024-00307,2024-12-02,,3,폐업,2,폐업,2024-12-15,,,,,18,467-871,경기도 이천시 모가면 신갈리 374,"경기도 이천시 모가면 사실로 988, 시몬스테라스 일대",17406,삼미분식,2024-12-16 4:15,U,2024-12-18 2:40,기타,239563.7272,410747.0692,기타,0,0,,,,0,0,0,0,0,,0,0,N,18,,,
4,일반음식점,07_24_04_P,3420000,3420000-101-2024-00355,2024-12-02,,3,폐업,2,폐업,2024-12-19,,,,,8,701-020,대구광역시 동구 신천동 1506 신세계동대구복합환승센터,"대구광역시 동구 동부로 149, 신세계동대구복합환승센터 지하1층 (신천동)",41229,퍼스티아,2024-12-20 4:15,U,2024-12-22 2:40,기타,347037.242,265407.4043,기타,0,0,,,,0,0,0,0,0,,0,0,N,8,,,
5,일반음식점,07_24_04_P,4311000,4311000-101-2025-00013,2025-01-06,,3,폐업,2,폐업,2025-02-02,,,,,,,강원특별자치도 화천군 화천읍 중리 188-1 (예약낚시터(공무원아파트) 방향),,,산천어 회센터(3),2025-02-03 4:15,U,2025-02-05 2:40,횟집,262066.8319,512357.9457,횟집,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
6,일반음식점,07_24_04_P,4311000,4311000-101-2025-00012,2025-01-06,,3,폐업,2,폐업,2025-02-02,,,,,,,강원특별자치도 화천군 화천읍 중리 233 (현장낚시(2낚시터) 절산방향),,,산천어 회센터(2),2025-02-03 4:15,U,2025-02-05 2:40,횟집,262309.0105,511826.0912,횟집,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
7,일반음식점,07_24_04_P,4311000,4311000-101-2025-00011,2025-01-06,,3,폐업,2,폐업,2025-02-02,,,,,,,강원특별자치도 화천군 화천읍 아리 216-2 (현장낚시(1낚시터) 초등학교 방향),,,산천어 회센터(1),2025-02-03 4:15,U,2025-02-05 2:40,횟집,262199.7524,511689.8127,횟집,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
8,일반음식점,07_24_04_P,4311000,4311000-101-2025-00010,2025-01-06,,3,폐업,2,폐업,2025-02-02,,,,033 4404757,,,강원특별자치도 화천군 화천읍 중리 186-5 나라축제조직위원회,"강원특별자치도 화천군 화천읍 산천어길 137, 나라축제조직위원회",24114,산천어식당,2025-02-03 4:15,U,2025-02-05 2:40,기타,262166.2781,512435.1319,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
9,일반음식점,07_24_04_P,4311000,4311000-101-2025-00009,2025-01-06,,3,폐업,2,폐업,2025-02-02,,,,033 4404756,,,강원특별자치도 화천군 화천읍 중리 233 (현장낚시(2낚시터) 절산방향),,,야간 구이터,2025-02-03 4:15,U,2025-02-05 2:40,기타,262309.0105,511826.0912,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
10,일반음식점,07_24_04_P,4311000,4311000-101-2025-00008,2025-01-06,,3,폐업,2,폐업,2025-02-02,,,,033 4404756,,,강원특별자치도 화천군 화천읍 중리 204-4 (외국인낚시터 방향),,,외국인구이터,2025-02-03 4:15,U,2025-02-05 2:40,기타,262290.842,512049.4821,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
